SensorID,time,latitude,longitude,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,temperature,humidity,pm25
NYCP2_CS03A,1631457134,40.823334,-73.890488,234,28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.6,11.34847363
NYCP2_CS03A,1631457144,40.823326,-73.890495,185,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.8,5.633453216
NYCP2_CS03A,1631457139,40.82333,-73.890488,309,49,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.7,11.31042744
NYCP2_CS03A,1631457149,40.823322,-73.890495,124,9,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.7,6.671903781
NYCP2_CS03A,1631457154,40.823322,-73.890495,95,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.7,3.117858638
NYCP2_CS03A,1631457159,40.823322,-73.890495,108,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.7,5.732265311
NYCP2_CS03A,1631457164,40.823322,-73.890495,146,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.7,7.866145312
NYCP2_CS03A,1631457169,40.823322,-73.890495,120,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.7,6.985082992
NYCP2_CS03A,1631457174,40.823322,-73.890495,131,10,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.8,11.31042744
NYCP2_CS03A,1631457179,40.823318,-73.890495,131,7,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,54.7,10.18271237
